Unnamed: 0,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd,milestone,slope,nan,kind
614,01:28:00,52,5280,1153.85,910.8763170838351,10.791761945267538,31.781258001584284,21.859163351989945,up trend,0.12,,rMSSD
746,01:47:43,56,6463,1071.43,2769.976610512679,2.8585622527682424,112.69811043107462,46.20487886156878,up trend,0.23,,rMSSD
1154,02:38:12,56,9492,1071.43,732.4215480612056,3.541482442400797,38.88867500484747,27.537042843621155,up trend,0.23,,rMSSD
1226,02:45:33,62,9933,967.74,764.7365049326363,1.0211961664179947,79.64413772192769,52.33864715212159,up trend,0.23,,rMSSD
1322,02:56:04,61,10564,983.61,751.482230981718,3.943616755541904,63.84874347316509,22.47110521064229,up trend,0.15,,rMSSD
1334,02:57:34,54,10654,1111.11,1638.5360060283042,24.09552739224665,64.89865965881118,22.43006100604039,up trend,0.11,,rMSSD
1766,03:57:39,54,14259,1111.11,57.93829818588891,0.3820927362103732,17.316805493213685,17.280837682832622,up trend,0.13,,rMSSD
1838,04:09:10,53,14950,1132.08,536.7432017911344,4.919230295433502,26.865597377482185,22.92574081325909,up trend,0.2,,rMSSD
1886,04:16:51,54,15411,1111.11,114.49628206449978,1.1764759640880444,27.3231032569845,20.597610223974417,up trend,0.12,,rMSSD
1946,04:24:48,54,15888,1111.11,1004.6013949988284,3.8586078522831615,79.81556598451563,46.21119848376713,up trend,0.13,,rMSSD
2078,04:41:55,55,16915,1090.91,2464.9749894820784,42.14230173809172,78.18309084398216,23.335569810213475,up trend,0.12,,rMSSD
2150,04:51:46,52,17506,1153.85,104.0228819705423,0.5256811420153068,23.975184449504304,21.957281856609928,up trend,0.12,,rMSSD
4202,09:11:11,79,33071,759.49,549.8651406326923,2.2680851788859533,31.496627784509236,21.153786605596228,up trend,0.14,,rMSSD
4502,09:42:51,96,34971,625.0,2017.3481094811636,17.404956625850737,55.77890327581802,19.50439521372199,up trend,0.23,,rMSSD
