Unnamed: 0,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd,milestone,slope,nan,kind
602,01:10:56,106,4256,566.04,988.7794523940656,2.699471936529385,41.34963076902492,17.75112390807972,up trend,0.12,,rMSSD
842,01:41:01,83,6061,722.89,1912.427424028273,3.456704198390531,49.08792361941281,29.17481007405435,up trend,0.22,,rMSSD
1946,04:57:40,104,17860,576.92,4359.407156790992,8.23021355307604,62.9430909019069,22.56303243478281,up trend,0.13,,rMSSD
2918,07:18:57,83,26337,722.89,288.90273494796725,2.5231562646704724,17.461160960303662,12.444273168565427,up trend,0.2,,rMSSD
3782,09:06:34,76,32794,789.47,83.43872355763234,1.0721322508020537,23.25098900771181,13.434843368142817,up trend,0.15,,rMSSD
5786,13:14:04,81,47644,740.74,4589.0408272550885,7.567699132895068,124.4555817060686,31.364744994522567,up trend,0.12,,rMSSD
