Unnamed: 0,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd,milestone,slope,nan,kind
2270,05:13:26,52,18806,1153.85,3707.437297605197,5.0112603991838505,77.31642265550634,45.22197910173272,up trend,0,,HF
2330,05:21:07,59,19267,1016.95,2467.1143198602044,3.3618959748941557,82.91751588076391,31.225463837015056,up trend,0,,HF
2342,05:22:52,67,19372,895.52,673.7016365955395,2.481399283767668,84.74593743293987,30.495069223380614,up trend,0,,HF
2450,05:36:00,64,20160,937.5,3333.5518069217364,15.470279537127531,102.47942748270827,36.12458148899584,up trend,0,,HF
2486,05:40:45,54,20445,1111.11,3025.8123341562023,29.96924762154009,110.06998897899794,36.87069988763547,up trend,0,,HF
2690,06:10:55,53,22255,1132.08,131.90727279772895,1.4256440007036313,15.673912390741902,18.75298066104343,up trend,0,,HF
3422,08:00:03,52,28803,1153.85,97.87269604834184,1.3032417315497025,22.940674919345817,20.01157843421082,up trend,0,,HF
3446,08:03:43,55,29023,1090.91,247.6306703586704,1.1298934752310876,25.445864565980152,23.85759943960014,up trend,0,,HF
3710,08:37:57,47,31077,1276.6,3305.0036419448547,13.921134788219945,95.71692807120247,34.3567700009468,up trend,0,,HF
3986,09:18:41,49,33521,1224.49,1294.6184316572894,4.698313014971343,72.24124693818396,34.318739421928136,up trend,0,,HF
4202,09:44:52,70,35092,857.14,967.4077717454796,4.180370424060174,61.82860398236534,29.40824499131813,up trend,0,,HF
4838,11:01:43,90,39703,666.67,63.20105673286419,1.8953862918280948,14.510416555435086,9.506477276261784,up trend,0,,HF
4910,11:11:24,83,40284,722.89,274.1445403407324,2.89053377838143,41.019211648261816,12.255466418821324,up trend,0,,HF
5210,11:45:44,83,42344,722.89,364.8359404583708,1.5235312574040425,26.18887524293085,16.18862500621461,up trend,0,,HF
5366,12:08:00,78,43680,769.23,501.8416171279645,6.405066926435235,35.34270579711213,18.686651461862898,up trend,0,,HF
5630,12:45:52,80,45952,750.0,537.9933543167241,12.163994181932312,31.951945055290864,13.454868855487485,up trend,0,,HF
5762,13:00:58,71,46858,845.07,1149.618157278463,9.480784950729404,79.00409514676556,24.401612651626124,up trend,0,,HF
5990,13:31:30,70,48690,857.14,330.8291370029863,4.445329237202503,27.37676188422047,16.010179351186014,up trend,0,,HF
6026,13:36:05,66,48965,909.09,1254.130181353125,14.360074167850762,42.409817935309775,18.075096635076324,up trend,0,,HF
6122,13:49:21,76,49761,789.47,1476.7873680162347,13.101189467501229,40.989411482897474,18.74997115644041,up trend,0,,HF
