Unnamed: 0,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd,milestone,slope,nan,kind
326,00:43:33,82,2613,731.71,249.98277639720823,2.306848428681536,56.21684880706068,13.6036857250571,up trend,0.12,,rMSSD
506,01:09:26,62,4166,967.74,537.704930154946,14.313840164747466,55.91456503653132,12.541675098873927,up trend,0.11,,rMSSD
890,01:58:41,68,7121,882.35,3563.936899149158,8.527672385571261,58.56304857439143,30.305320069086815,up trend,0.13,,rMSSD
962,02:06:56,85,7616,705.88,666.3435992703037,1.9423539930581957,54.97881173168961,24.680117214354677,up trend,0.14,,rMSSD
1058,02:18:18,60,8298,1000.0,3839.868222882613,5.875955133669134,77.88620683839645,45.25808726918657,up trend,0.13,,rMSSD
1070,02:20:18,60,8418,1000.0,4078.32425711356,15.479846857287402,76.39428599318255,44.01798322207386,up trend,0.15,,rMSSD
1142,02:31:54,59,9114,1016.95,359.9963025157066,1.619858265696235,23.532455435341365,23.252869342364228,up trend,0.16,,rMSSD
1238,02:48:51,59,10131,1016.95,33.336876308570126,0.3596669018549854,14.930882704198403,15.27570974335614,up trend,0.11,,rMSSD
1454,03:20:51,58,12051,1034.48,896.5448789002342,8.672820691954973,154.68372694129454,35.75013552136436,up trend,0.18,,rMSSD
1730,04:00:46,63,14446,952.38,276.68928164872705,2.0149381578030026,33.206606842614946,22.774521836867624,up trend,0.18,,rMSSD
1742,04:02:06,63,14526,952.38,319.92076548914525,1.5678180918465816,43.72773330087732,28.4078869474012,up trend,0.19,,rMSSD
1898,04:24:55,55,15895,1090.91,2056.7128413110977,5.784817308497764,63.22954171645932,36.01471796646588,up trend,0.25,,rMSSD
2186,05:02:58,51,18178,1176.47,4581.21012114805,12.345749482190518,121.1438922174446,38.53078790170961,up trend,0.26,,rMSSD
2330,05:21:07,59,19267,1016.95,2467.1143198602044,3.3618959748941557,82.91751588076391,31.225463837015056,up trend,0.2,,rMSSD
3974,09:17:01,60,33421,1000.0,200.1636222250549,1.0554644383999243,73.38702628933697,36.40587892646136,up trend,0.15,,rMSSD
